,lambda_sparsity,lambda_TV,entropy,TSV,cross_val_score
258,2.6826957952797274e-06,1e-08,1e-06,7.196856730011514e-06,45.672917207030295
259,2.6826957952797274e-06,1e-08,1e-06,1.9306977288832496e-05,35.934466842673054
260,2.6826957952797274e-06,1e-08,1e-06,5.1794746792312125e-05,28.22728121391898
261,2.6826957952797274e-06,1e-08,1e-06,0.00013894954943731373,23.94281238293513
262,2.6826957952797274e-06,1e-08,1e-06,0.0003727593720314938,25.096013272999656
263,2.6826957952797274e-06,1e-08,1e-06,0.001,32.1937409259844
264,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,1e-06,50.174640056947666
265,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,2.6826957952797274e-06,43.37681333731237
266,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,7.196856730011514e-06,35.767906905451035
267,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,1.9306977288832496e-05,28.777466535549827
268,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,5.1794746792312125e-05,23.019041557517838
269,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,0.00013894954943731373,20.107812333308345
270,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,0.0003727593720314938,21.359485057809497
271,2.6826957952797274e-06,1e-08,2.6826957952797274e-06,0.001,27.860310714355116
272,2.6826957952797274e-06,1e-08,7.196856730011514e-06,1e-06,30.995349300988277
273,2.6826957952797274e-06,1e-08,7.196856730011514e-06,2.6826957952797274e-06,27.75485266253101
274,2.6826957952797274e-06,1e-08,7.196856730011514e-06,7.196856730011514e-06,23.801627702767256
275,2.6826957952797274e-06,1e-08,7.196856730011514e-06,1.9306977288832496e-05,20.18461524733015
276,2.6826957952797274e-06,1e-08,7.196856730011514e-06,5.1794746792312125e-05,16.979791394105295
277,2.6826957952797274e-06,1e-08,7.196856730011514e-06,0.00013894954943731373,15.228317272136678
278,2.6826957952797274e-06,1e-08,7.196856730011514e-06,0.0003727593720314938,16.35255189539143
279,2.6826957952797274e-06,1e-08,7.196856730011514e-06,0.001,21.522091773829608
280,2.6826957952797274e-06,1e-08,1.9306977288832496e-05,1e-06,17.449793436609923
